Date,Closing Value
40428,629.289978
40424,643.359985
40423,632.26001
40422,624.98999
40421,602.059998
40420,601.719971
40417,616.76001
40416,599.76001
40415,604.869995
40414,595.590027
40413,602.669983
40410,610.780029
40409,610.960022
40408,628.039978
40407,626.299988
40406,615.099976
40403,609.48999
40402,616.97998
40401,620.390015
40400,646.359985
40399,659.52002
40396,650.679993
40395,655.070007
40394,662.960022
40393,655.659973
40392,661.859985
40389,650.890015
40388,650.429993
40387,650.76001
40386,662.169983
40385,665.219971
40382,650.650024
40381,635.47998
40380,612.640015
40379,624.23999
40378,613.080017
40375,610.390015
40374,634.619995
40373,640.159973
40372,642.820007
40371,621.609985
40368,629.429993
40367,620.27002
40366,611.659973
40365,590.030029
40361,598.969971
40360,604.76001
40359,609.48999
40358,615.960022
40357,641.539978
40354,645.109985
40353,633.169983
40352,644.25
40351,645.909973
40350,660.030029
40347,666.919983
40346,665.849976
40345,666.130005
40344,668.77002
40343,652.27002
40340,649
40339,639.789978
40338,618.289978
40337,617.690002
40336,618.48999
40333,633.969971
40332,667.369995
40331,660.52002
40330,640.960022
40326,661.609985
40325,670.51001
40324,642.619995
40323,640.02002
40322,641.210022
40319,649.289978
40318,640.039978
40317,674.400024
40316,682.75
40315,695.710022
40312,693.97998
40311,709.849976
40310,716.109985
40309,695.47998
40308,689.609985
40305,653
40304,672.22998
40303,698.580017
40302,709.700012
40301,732.820007
40298,716.599976
40297,737.73999
40296,722.390015
40295,721.27002
40294,738.859985
40291,741.919983
40290,734.309998
40289,726.190002
40288,721.549988
40287,711.400024
40284,714.619995
40283,724.210022
40282,722.400024
40281,707.030029
40280,705.059998
40277,702.950012
40276,699.640015
40275,699.460022
40274,701.47998
40273,697.650024
40269,683.97998
40268,678.640015
40267,683.940002
40266,682.25
40263,678.969971
40262,679.099976
40261,683.679993
40260,690.299988
40259,682.909973
40256,673.890015
40255,681.609985
40254,683.97998
40253,679.580017
40252,674.409973
40249,676.590027
40248,677.219971
40247,674.929993
40246,669.630005
40245,667.109985
40242,666.02002
40241,652.469971
40240,649.26001
40239,648.309998
40238,642.650024
40235,628.559998
40234,630.460022
40233,630.429993
40232,625.070007
40231,632.25
40228,631.619995
40227,629.320007
40226,624.830017
40225,620.840027
40221,610.719971
40220,605.460022
40219,595.820007
40218,595.169983
40217,586.48999
40214,592.97998
40213,589.679993
40212,610.659973
40211,614.049988
40210,609.25
40207,602.039978
40206,607.929993
40205,618.380005
40204,612.159973
40203,618.109985
40200,617.119995
40199,628.359985
40198,639.609985
40197,649.150024
40193,637.960022
40192,646.429993
40191,643.559998
40190,635.5
40189,643.98999
40186,644.559998
40185,641.969971
40184,637.950012
40183,638.48999
40182,640.099976
