Date,Boeing,McDonalds,Nike,Walmart
42857,177.349808,136.104034,54.064976,72.834175
42858,177.301483,137.443588,53.534828,73.065659
42859,176.992081,138.243469,53.475929,73.625015
42860,178.867661,138.734955,52.96542,73.77932
42863,179.844162,139.004791,53.309025,73.412842
42864,180.70462,139.120453,53.888268,73.991501
42865,178.454208,139.274643,53.564285,74.467232
42866,179.194595,138.975876,53.250126,73.913834
42867,178.5224,140.084152,53.210857,73.506058
42870,177.684601,140.970764,52.7887,74.069176
42871,177.986572,141.944092,51.816769,72.923523
42872,174.167725,141.096039,50.854649,72.933228
42873,172.823318,141.67424,50.736843,75.282784
42874,176.096619,142.772888,50.825203,76.476967
42877,178.931549,142.811447,50.628853,76.26339
42878,178.75621,142.45488,51.247356,76.205132
42879,180.470795,144.073883,51.060822,75.875031
42880,182.243866,144.343719,51.394611,76.030373
42881,181.77623,144.420822,51.630241,75.855606
42885,182.058762,144.488266,51.954212,75.875031
42886,182.789413,145.413437,52.022942,76.31192
42887,182.487411,147.779602,51.520535,77.486694
42888,185.322311,149.088776,52.190399,77.302231
42891,184.075363,148.167511,52.219952,77.923607
42892,181.932114,146.654694,51.697853,76.632317
42893,183.247284,147.343231,52.436672,76.845917
42894,185.030045,146.848648,52.407127,76.632317
42895,185.127472,146.897125,52.66325,77.108047
42898,185.098251,143.97821,53.224751,76.933296
42899,186.160126,145.287354,53.500584,77.205139
42900,187.416855,146.121338,53.845367,77.574081
42901,190.407669,146.596527,52.111595,76.612907
42902,191.372116,147.391708,50.338421,73.049736
42905,193.944016,148.506943,51.244713,73.302162
42906,193.213348,149.408783,50.791569,73.341003
42907,194.031677,149.079086,51.806217,74.020615
42908,194.294724,150.116699,51.619049,73.321579
42909,197.012741,149.961533,52.06234,72.661385
42912,194.820801,149.302124,52.485928,73.302162
42913,193.758926,149.069382,52.160851,73.797318
42914,194.470062,149.631821,52.564739,74.282768
42915,192.365814,148.497238,52.377571,73.71965
42916,192.648331,148.526337,58.120686,73.476929
42919,193.466644,147.886276,57.775898,73.166237
42921,196.603561,148.439041,56.702148,73.127411
42922,196.282089,148.458435,56.308105,73.273048
42923,197.149124,151.542221,57.115887,73.137123
42926,198.69812,150.814926,57.854706,71.098251
42927,200.948532,150.223373,57.312904,71.331261
42928,201.114136,151.84285,57.35231,71.78759
42929,200.909515,150.349442,57.076477,72.865273
42930,203.130737,150.582169,57.135586,74.117722
42933,203.608093,150.562775,56.928722,74.146843
42934,202.867691,149.302124,56.790806,73.981789
42935,205.439575,149.234207,56.909016,73.661392
42936,204.855042,149.54454,58.219193,73.80703
42937,206.667084,149.263321,59.056526,73.93325
42940,206.706024,147.255966,58.07143,74.651703
42941,206.978806,154.257523,58.504871,76.234253
42942,227.427292,151.774979,57.490219,76.603195
42943,234.782516,152.20166,57.283352,77.457581
42944,235.045563,151.134933,57.795601,77.486694
42947,236.20488,150.446396,58.169937,77.661461
42948,233.262772,149.379684,58.948166,78.156616
42949,231.811203,151.852539,58.898911,78.185738
42950,232.10347,150.039108,59.24369,78.515846
42951,231.577408,149.166351,58.869354,78.137199
42954,234.032379,150.281555,58.898911,78.913918
42955,233.321228,150.233078,58.57383,79.214882
42956,229.626587,150.233078,59.007271,79.732689
42957,228.225174,151.881622,58.18964,78.80455
42958,230.185181,152.541061,58.091133,78.550529
42961,232.40979,152.502274,58.889061,78.843628
42962,234.389435,152.851379,57.687237,78.912018
42963,232.841003,154.092667,57.667542,79.117195
42964,230.880997,153.113205,56.603638,77.866623
42965,231.057388,152.987137,54.131046,77.485603
42968,230.969193,153.568985,52.811016,77.876396
42969,234.957825,154.810257,53.323269,78.179268
42970,233.331009,154.005371,52.811016,78.120644
42971,233.968018,153.617493,53.037586,76.53791
42972,231.174988,154.015076,53.096699,76.821243
42975,232.439209,154.839371,52.929226,76.235046
42976,235.68306,154.558136,51.944126,76.958015
42977,235.653671,155.621429,51.776665,76.733307
42978,234.869644,156.050674,52.20171,76.274124
42979,235.52623,155.894562,52.745373,76.56723
42983,232.262802,155.201981,52.399403,77.964333
42984,229.930359,154.343536,52.152283,78.237892
42985,231.586594,155.982346,51.786541,78.276978
42986,234.007217,155.797028,51.598736,77.065491
42989,235.781052,157.572433,52.419174,77.260895
42990,235.771255,152.499832,52.784916,77.778702
42991,237.094254,153.153427,52.90353,78.022942
42992,240.328293,153.153427,53.111115,77.847092
42993,244.022949,153.075394,53.249496,78.530991
42996,248.021393,152.841263,52.883762,78.159729
42997,247.413788,153.572891,52.715725,78.20858
42998,250.353836,155.962845,52.943069,78.648232
42999,250.922241,155.133698,52.577332,78.169502
43000,251.324051,155.016647,52.626762,77.700531
43003,249.236633,152.431549,52.616867,77.329285
43004,248.628998,149.592865,53.081459,77.563759
43005,250.177414,150.275696,52.06332,77.466064
43006,249.187607,153.631409,52.023781,77.133881
43007,249.128799,152.841263,51.252766,76.342506
43010,250.873245,153.11441,51.272537,76.645378
43011,250.353836,153.016846,50.877148,77.397667
43012,250.647827,153.358276,51.480118,77.270653
43013,253.715286,154.909317,51.578968,77.583298
43014,253.411453,155.689728,51.8162,77.182732
43017,253.225266,156.196976,50.926571,78.677528
43018,255.714493,156.645706,50.936451,82.194717
43019,256.214294,159.152725,50.442211,83.757919
43020,256.674927,159.894135,50.244518,84.1194
43021,255.528305,161.318344,50.392784,84.627449
43024,254.55806,160.967163,50.77829,83.767685
43025,253.450668,161.34761,51.401039,84.002167
43026,254.84227,161.708557,51.697582,84.236649
43027,253.862259,162.420654,52.083092,84.412506
43028,259.45813,162.225571,52.44883,85.428589
43031,257.076721,159.338089,53.04192,86.610748
43032,260.683167,159.864853,52.804684,85.956154
43033,253.254669,159.572205,54.307175,86.444664
43034,254.087646,159.991669,56.155636,86.581436
43035,251.333817,161.33786,55.315426,86.141785
43038,254.0681,162.157288,54.633373,84.94986
43039,252.823471,162.820633,54.356602,85.301575
43040,253.333054,162.293823,54.43568,85.917084
43041,257.380493,163.981476,54.485096,86.757301
43042,256.518097,164.51799,55.068302,87.61705
43045,258.791718,165.903198,55.394505,86.659592
43046,260.810547,166.586044,54.514759,86.903847
43047,260.261749,165.93248,55.117729,88.183716
43048,258.833099,162.908417,55.483467,88.222801
43049,257.010345,161.532959,55.443932,88.828529
43052,258.55722,163.269348,55.266003,88.896919
43053,257.906921,163.991226,55.335194,88.994621
43054,258.990723,163.220566,55.977711,87.763603
43055,259.81839,163.97171,56.570797,97.3284
43056,258.399597,162.635269,58.508217,95.227867
43059,260.73468,162.840134,58.567532,95.237633
43060,263.059937,164.176575,58.705917,94.299713
43061,261.24704,164.908203,58.389603,94.192245
43063,261.966278,164.966721,58.636723,94.397415
43066,261.670685,164.820404,58.943157,94.397415
43067,264.045227,167.142075,58.893726,94.543953
43068,265.335938,166.254379,59.664749,95.315796
43069,272.725555,168.756729,59.724049,94.993385
43070,267.385345,169.639908,59.386852,95.110619
43073,273.878296,167.461395,59.605038,94.778442
43074,271.48407,169.75769,59.922401,95.579575
